username,repo_name,stars,repo_url
public-apis,public-apis,133000,https://github.com/public-apis/public-apis
httpie,httpie,51200,https://github.com/httpie/httpie
neovim,neovim,44800,https://github.com/neovim/neovim
strapi,strapi,37300,https://github.com/strapi/strapi
slatedocs,slate,32800,https://github.com/slatedocs/slate
tiangolo,fastapi,32400,https://github.com/tiangolo/fastapi
hoppscotch,hoppscotch,29600,https://github.com/hoppscotch/hoppscotch
littlecodersh,ItChat,21500,https://github.com/littlecodersh/ItChat
YMFE,yapi,21300,https://github.com/YMFE/yapi
encode,django-rest-framework,21200,https://github.com/encode/django-rest-framework
Binaryify,NeteaseCloudMusicApi,20400,https://github.com/Binaryify/NeteaseCloudMusicApi
paularmstrong,normalizr,20200,https://github.com/paularmstrong/normalizr
ccxt,ccxt,20100,https://github.com/ccxt/ccxt
FallibleInc,security-guide-for-developers,19700,https://github.com/FallibleInc/security-guide-for-developers
microsoft,api-guidelines,17300,https://github.com/microsoft/api-guidelines
Kong,insomnia,16600,https://github.com/Kong/insomnia
shieldfy,API-Security-Checklist,15700,https://github.com/shieldfy/API-Security-Checklist
learn-anything,learn-anything,13100,https://github.com/learn-anything/learn-anything
youfou,wxpy,12900,https://github.com/youfou/wxpy
jsdoc,jsdoc,12100,https://github.com/jsdoc/jsdoc
BrainJS,brain.js,12000,https://github.com/BrainJS/brain.js
directus,directus,11300,https://github.com/directus/directus
ChainSafe,web3.js,10600,https://github.com/ChainSafe/web3.js
graphile,postgraphile,10400,https://github.com/graphile/postgraphile
postmanlabs,httpbin,10000,https://github.com/postmanlabs/httpbin
go-chi,chi,9600,https://github.com/go-chi/chi
ruby-grape,grape,9300,https://github.com/ruby-grape/grape
star7th,showdoc,9100,https://github.com/star7th/showdoc
OpenAPITools,openapi-generator,9000,https://github.com/OpenAPITools/openapi-generator
zealdocs,zeal,8900,https://github.com/zealdocs/zeal
