username,repo_name,stars,repo_url
aspnetboilerplate,aspnetboilerplate,9600,https://github.com/aspnetboilerplate/aspnetboilerplate
dotnet,AspNetCore.Docs,9400,https://github.com/dotnet/AspNetCore.Docs
bitwarden,server,7900,https://github.com/bitwarden/server
ElectronNET,Electron.NET,5800,https://github.com/ElectronNET/Electron.NET
RicoSuter,NSwag,4400,https://github.com/RicoSuter/NSwag
thangchung,clean-code-dotnet,3900,https://github.com/thangchung/clean-code-dotnet
JimBobSquarePants,ImageProcessor,2400,https://github.com/JimBobSquarePants/ImageProcessor
smartstore,SmartStoreNET,2200,https://github.com/smartstore/SmartStoreNET
microsoft,aspnet-api-versioning,2000,https://github.com/microsoft/aspnet-api-versioning
loic-sharma,BaGet,1700,https://github.com/loic-sharma/BaGet
TrilonIO,aspnetcore-angular-universal,1500,https://github.com/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,1200,https://github.com/TrilonIO/aspnetcore-Vue-starter
mjebrahimi,Awesome-Microservices-NetCore,1100,https://github.com/mjebrahimi/Awesome-Microservices-NetCore
lampo1024,DncZeus,1100,https://github.com/lampo1024/DncZeus
MarimerLLC,csla,913,https://github.com/MarimerLLC/csla
riganti,dotvvm,540,https://github.com/riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,498,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
antonioCoco,SharPyShell,442,https://github.com/antonioCoco/SharPyShell
chsakell,mvcarchitecture,438,https://github.com/chsakell/mvcarchitecture
brthor,Gofer.NET,395,https://github.com/brthor/Gofer.NET
YAFNET,YAFNET,377,https://github.com/YAFNET/YAFNET
Maarten88,rrod,374,https://github.com/Maarten88/rrod
SapphireDb,SapphireDb,341,https://github.com/SapphireDb/SapphireDb
Taritsyn,WebMarkupMin,323,https://github.com/Taritsyn/WebMarkupMin
IvanJosipovic,BlazorTable,302,https://github.com/IvanJosipovic/BlazorTable
ALMMa,datatables.aspnet,281,https://github.com/ALMMa/datatables.aspnet
EEParker,aspnetcore-vueclimiddleware,276,https://github.com/EEParker/aspnetcore-vueclimiddleware
cornflourblue,aspnet-core-jwt-authentication-api,274,https://github.com/cornflourblue/aspnet-core-jwt-authentication-api
chsakell,aspnet-core-identity,254,https://github.com/chsakell/aspnet-core-identity
grandchamp,Identity.Dapper,244,https://github.com/grandchamp/Identity.Dapper
