username,repo_name,stars,repo_url
jwasham,coding-interview-university,183000,https://github.com/jwasham/coding-interview-university
CyC2018,CS-Notes,133000,https://github.com/CyC2018/CS-Notes
trekhleb,javascript-algorithms,111000,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,111000,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,55200,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,52500,https://github.com/kdn251/interviews
azl397985856,leetcode,42700,https://github.com/azl397985856/leetcode
algorithm-visualizer,algorithm-visualizer,34800,https://github.com/algorithm-visualizer/algorithm-visualizer
crossoverJie,JCSprout,26200,https://github.com/crossoverJie/JCSprout
donnemartin,interactive-coding-challenges,22900,https://github.com/donnemartin/interactive-coding-challenges
keon,algorithms,19300,https://github.com/keon/algorithms
huihut,interview,19100,https://github.com/huihut/interview
halfrost,LeetCode-Go,18600,https://github.com/halfrost/LeetCode-Go
trekhleb,homemade-machine-learning,17900,https://github.com/trekhleb/homemade-machine-learning
mxgmn,WaveFunctionCollapse,16300,https://github.com/mxgmn/WaveFunctionCollapse
TheAlgorithms,C-Plus-Plus,13300,https://github.com/TheAlgorithms/C-Plus-Plus
OpenGenus,cosmos,12600,https://github.com/OpenGenus/cosmos
AtsushiSakai,PythonRobotics,12600,https://github.com/AtsushiSakai/PythonRobotics
greyireland,algorithm-pattern,12200,https://github.com/greyireland/algorithm-pattern
youngyangyang04,leetcode-master,12100,https://github.com/youngyangyang04/leetcode-master
TheAlgorithms,Javascript,11400,https://github.com/TheAlgorithms/Javascript
apachecn,apachecn-algo-zh,10300,https://github.com/apachecn/apachecn-algo-zh
williamfiset,Algorithms,10100,https://github.com/williamfiset/Algorithms
halfrost,Halfrost-Field,9100,https://github.com/halfrost/Halfrost-Field
lnishan,awesome-competitive-programming,8500,https://github.com/lnishan/awesome-competitive-programming
Blankj,awesome-java-leetcode,8100,https://github.com/Blankj/awesome-java-leetcode
jeffgerickson,algorithms,7200,https://github.com/jeffgerickson/algorithms
mgechev,javascript-algorithms,6800,https://github.com/mgechev/javascript-algorithms
LeetCode-OpenSource,vscode-leetcode,6600,https://github.com/LeetCode-OpenSource/vscode-leetcode
OlafenwaMoses,ImageAI,6300,https://github.com/OlafenwaMoses/ImageAI
