username,repo_name,stars,repo_url
serverless,serverless,40000,https://github.com/serverless/serverless
localstack,localstack,30900,https://github.com/localstack/localstack
donnemartin,data-science-ipython-notebooks,21200,https://github.com/donnemartin/data-science-ipython-notebooks
ramitsurana,awesome-kubernetes,11700,https://github.com/ramitsurana/awesome-kubernetes
aws,aws-cli,11200,https://github.com/aws/aws-cli
kubernetes-sigs,kubespray,10800,https://github.com/kubernetes-sigs/kubespray
donnemartin,awesome-aws,9400,https://github.com/donnemartin/awesome-aws
pulumi,pulumi,9100,https://github.com/pulumi/pulumi
bregman-arie,devops-exercises,8900,https://github.com/bregman-arie/devops-exercises
apereo,cas,8700,https://github.com/apereo/cas
apex,up,8200,https://github.com/apex/up
aws-amplify,amplify-js,8100,https://github.com/aws-amplify/amplify-js
aws,chalice,8000,https://github.com/aws/chalice
aws,serverless-application-model,8000,https://github.com/aws/serverless-application-model
google,go-cloud,7800,https://github.com/google/go-cloud
mozilla,sops,7700,https://github.com/mozilla/sops
cortexlabs,cortex,7500,https://github.com/cortexlabs/cortex
caprover,caprover,7300,https://github.com/caprover/caprover
aws,aws-sdk-go,7000,https://github.com/aws/aws-sdk-go
aws,aws-cdk,6900,https://github.com/aws/aws-cdk
aws,aws-sdk-js,6600,https://github.com/aws/aws-sdk-js
boto,boto3,6500,https://github.com/boto/boto3
angristan,openvpn-install,6400,https://github.com/angristan/openvpn-install
awslabs,aws-shell,6200,https://github.com/awslabs/aws-shell
hashicorp,terraform-provider-aws,6000,https://github.com/hashicorp/terraform-provider-aws
aws,amazon-sagemaker-examples,5700,https://github.com/aws/amazon-sagemaker-examples
aws,aws-sam-cli,5600,https://github.com/aws/aws-sam-cli
donnemartin,dev-setup,5500,https://github.com/donnemartin/dev-setup
gruntwork-io,terratest,5300,https://github.com/gruntwork-io/terratest
gruntwork-io,terragrunt,5100,https://github.com/gruntwork-io/terragrunt
