username,repo_name,stars,repo_url
amphp,amp,3300,https://github.com/amphp/amp
danog,MadelineProto,1600,https://github.com/danog/MadelineProto
amphp,http-server,1100,https://github.com/amphp/http-server
unreal4u,telegram-api,656,https://github.com/unreal4u/telegram-api
amphp,http-client,566,https://github.com/amphp/http-client
amphp,parallel,499,https://github.com/amphp/parallel
php-service-bus,service-bus,294,https://github.com/php-service-bus/service-bus
amphp,mysql,240,https://github.com/amphp/mysql
amphp,byte-stream,229,https://github.com/amphp/byte-stream
amphp,parallel-functions,190,https://github.com/amphp/parallel-functions
amphp,process,132,https://github.com/amphp/process
amphp,socket,130,https://github.com/amphp/socket
amphp,redis,113,https://github.com/amphp/redis
kelunik,acme,103,https://github.com/kelunik/acme
PeeHaa,mailgrab,92,https://github.com/PeeHaa/mailgrab
amphp,dns,91,https://github.com/amphp/dns
amphp,websocket-client,88,https://github.com/amphp/websocket-client
amphp,sync,75,https://github.com/amphp/sync
jolicode,asynit,67,https://github.com/jolicode/asynit
amphp,websocket-server,63,https://github.com/amphp/websocket-server
amphp,postgres,58,https://github.com/amphp/postgres
amphp,beanstalk,53,https://github.com/amphp/beanstalk
amphp,cache,53,https://github.com/amphp/cache
amphp,file,52,https://github.com/amphp/file
amphp,hpack,48,https://github.com/amphp/hpack
amphp,windows-registry,49,https://github.com/amphp/windows-registry
amphp,serialization,45,https://github.com/amphp/serialization
phpinnacle,ridge,41,https://github.com/phpinnacle/ridge
Room-11,Jeeves,41,https://github.com/Room-11/Jeeves
amphp,aerys,40,https://github.com/amphp/aerys
