username,repo_name,stars,repo_url
flutter,flutter,123000,https://github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,80800,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,50900,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,44700,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,43200,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,40800,https://github.com/wasabeef/awesome-android-ui
square,okhttp,40300,https://github.com/square/okhttp
android,architecture-samples,39000,https://github.com/android/architecture-samples
square,retrofit,38300,https://github.com/square/retrofit
Solido,awesome-flutter,36200,https://github.com/Solido/awesome-flutter
PhilJay,MPAndroidChart,33500,https://github.com/PhilJay/MPAndroidChart
fastlane,fastlane,32500,https://github.com/fastlane/fastlane
shadowsocks,shadowsocks-android,31600,https://github.com/shadowsocks/shadowsocks-android
bumptech,glide,31400,https://github.com/bumptech/glide
airbnb,lottie-android,31300,https://github.com/airbnb/lottie-android
Trinea,android-open-project,30600,https://github.com/Trinea/android-open-project
Blankj,AndroidUtilCode,29500,https://github.com/Blankj/AndroidUtilCode
xitu,gold-miner,29100,https://github.com/xitu/gold-miner
bilibili,ijkplayer,29000,https://github.com/bilibili/ijkplayer
zxing,zxing,28000,https://github.com/zxing/zxing
codepath,android_guides,27400,https://github.com/codepath/android_guides
skylot,jadx,26300,https://github.com/skylot/jadx
square,leakcanary,26300,https://github.com/square/leakcanary
laurent22,joplin,23900,https://github.com/laurent22/joplin
alibaba,fastjson,23500,https://github.com/alibaba/fastjson
scwang90,SmartRefreshLayout,22700,https://github.com/scwang90/SmartRefreshLayout
CymChad,BaseRecyclerViewAdapterHelper,22000,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,20800,https://github.com/react-native-elements/react-native-elements
google,iosched,20600,https://github.com/google/iosched
NativeScript,NativeScript,20200,https://github.com/NativeScript/NativeScript
