username,repo_name,stars,repo_url
sindresorhus,awesome,165000,https://github.com/sindresorhus/awesome
vinta,awesome-python,99900,https://github.com/vinta/awesome-python
avelino,awesome-go,65400,https://github.com/avelino/awesome-go
awesome-selfhosted,awesome-selfhosted,59900,https://github.com/awesome-selfhosted/awesome-selfhosted
papers-we-love,papers-we-love,46400,https://github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,44700,https://github.com/Hack-with-Github/Awesome-Hacking
521xueweihan,HelloGitHub,43700,https://github.com/521xueweihan/HelloGitHub
jaywcjlove,awesome-mac,42400,https://github.com/jaywcjlove/awesome-mac
trimstray,the-book-of-secret-knowledge,42400,https://github.com/trimstray/the-book-of-secret-knowledge
sindresorhus,awesome-nodejs,41500,https://github.com/sindresorhus/awesome-nodejs
DopplerHQ,awesome-interview-questions,41400,https://github.com/DopplerHQ/awesome-interview-questions
wasabeef,awesome-android-ui,40800,https://github.com/wasabeef/awesome-android-ui
vsouza,awesome-ios,37800,https://github.com/vsouza/awesome-ios
prakhar1989,awesome-courses,37400,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,36200,https://github.com/Solido/awesome-flutter
binhnguyennus,awesome-scalability,32800,https://github.com/binhnguyennus/awesome-scalability
MunGell,awesome-for-beginners,32200,https://github.com/MunGell/awesome-for-beginners
fffaraz,awesome-cpp,32000,https://github.com/fffaraz/awesome-cpp
tiimgreen,github-cheat-sheet,31800,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,31400,https://github.com/dypsilon/frontend-dev-bookmarks
akullpp,awesome-java,29100,https://github.com/akullpp/awesome-java
dkhamsing,open-source-ios-apps,27600,https://github.com/dkhamsing/open-source-ios-apps
brillout,awesome-react-components,27300,https://github.com/brillout/awesome-react-components
serhii-londar,open-source-mac-os-apps,26300,https://github.com/serhii-londar/open-source-mac-os-apps
ziadoz,awesome-php,25400,https://github.com/ziadoz/awesome-php
herrbischoff,awesome-macos-command-line,25300,https://github.com/herrbischoff/awesome-macos-command-line
goabstract,Awesome-Design-Tools,23100,https://github.com/goabstract/Awesome-Design-Tools
alebcay,awesome-shell,21700,https://github.com/alebcay/awesome-shell
sindresorhus,awesome-electron,21700,https://github.com/sindresorhus/awesome-electron
matteocrippa,awesome-swift,20900,https://github.com/matteocrippa/awesome-swift
