username,repo_name,stars,repo_url
ramitsurana,awesome-kubernetes,11700,https://github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,10500,https://github.com/Azure/azure-quickstart-templates
microsoft,recommenders,10500,https://github.com/microsoft/recommenders
pulumi,pulumi,9100,https://github.com/pulumi/pulumi
bregman-arie,devops-exercises,8900,https://github.com/bregman-arie/devops-exercises
google,go-cloud,7800,https://github.com/google/go-cloud
microsoft,computervision-recipes,7800,https://github.com/microsoft/computervision-recipes
mozilla,sops,7700,https://github.com/mozilla/sops
caprover,caprover,7300,https://github.com/caprover/caprover
microsoft,azuredatastudio,6400,https://github.com/microsoft/azuredatastudio
node-formidable,formidable,5900,https://github.com/node-formidable/formidable
midwayjs,midway,4400,https://github.com/midwayjs/midway
thangchung,clean-code-dotnet,3900,https://github.com/thangchung/clean-code-dotnet
cloud-custodian,cloud-custodian,3600,https://github.com/cloud-custodian/cloud-custodian
budtmo,docker-android,3500,https://github.com/budtmo/docker-android
simov,grant,3400,https://github.com/simov/grant
nccgroup,ScoutSuite,3300,https://github.com/nccgroup/ScoutSuite
infracost,infracost,3300,https://github.com/infracost/infracost
Qovery,engine,3000,https://github.com/Qovery/engine
bridgecrewio,checkov,2800,https://github.com/bridgecrewio/checkov
tfsec,tfsec,2800,https://github.com/tfsec/tfsec
terraform-providers,terraform-provider-azurerm,2700,https://github.com/terraform-providers/terraform-provider-azurerm
Azure,azure-powershell,2600,https://github.com/Azure/azure-powershell
mlabouardy,komiser,2600,https://github.com/mlabouardy/komiser
APIs-guru,openapi-directory,2400,https://github.com/APIs-guru/openapi-directory
Azure,azure-cli,2400,https://github.com/Azure/azure-cli
Azure,azure-sdk-for-net,2400,https://github.com/Azure/azure-sdk-for-net
Azure,mmlspark,2400,https://github.com/Azure/mmlspark
Azure,MachineLearningNotebooks,2400,https://github.com/Azure/MachineLearningNotebooks
smartstore,SmartStoreNET,2200,https://github.com/smartstore/SmartStoreNET
