username,repo_name,stars,repo_url
CyC2018,CS-Notes,133000,https://github.com/CyC2018/CS-Notes
tuvtran,project-based-learning,51800,https://github.com/tuvtran/project-based-learning
azl397985856,leetcode,42700,https://github.com/azl397985856/leetcode
x64dbg,x64dbg,36900,https://github.com/x64dbg/x64dbg
fffaraz,awesome-cpp,32000,https://github.com/fffaraz/awesome-cpp
microsoft,calculator,22300,https://github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,21200,https://github.com/CMU-Perceptual-Computing-Lab/openpose
huihut,interview,19100,https://github.com/huihut/interview
yuzu-emu,yuzu,14900,https://github.com/yuzu-emu/yuzu
changkun,modern-cpp-tutorial,13600,https://github.com/changkun/modern-cpp-tutorial
TheAlgorithms,C-Plus-Plus,13300,https://github.com/TheAlgorithms/C-Plus-Plus
microsoft,vcpkg,13100,https://github.com/microsoft/vcpkg
facebook,infer,12400,https://github.com/facebook/infer
AnthonyCalandra,modern-cpp-features,12200,https://github.com/AnthonyCalandra/modern-cpp-features
youngyangyang04,leetcode-master,12100,https://github.com/youngyangyang04/leetcode-master
gabime,spdlog,11900,https://github.com/gabime/spdlog
CoatiSoftware,Sourcetrail,11500,https://github.com/CoatiSoftware/Sourcetrail
google,tink,11400,https://github.com/google/tink
Qv2ray,Qv2ray,11000,https://github.com/Qv2ray/Qv2ray
ssloy,tinyrenderer,10800,https://github.com/ssloy/tinyrenderer
ethereum,solidity,10800,https://github.com/ethereum/solidity
SFTtech,openage,10400,https://github.com/SFTtech/openage
antlr,antlr4,10100,https://github.com/antlr/antlr4
kyleneideck,BackgroundMusic,9700,https://github.com/kyleneideck/BackgroundMusic
OpenRCT2,OpenRCT2,9600,https://github.com/OpenRCT2/OpenRCT2
compiler-explorer,compiler-explorer,8700,https://github.com/compiler-explorer/compiler-explorer
hmemcpy,milewski-ctfp-pdf,8500,https://github.com/hmemcpy/milewski-ctfp-pdf
codota,TabNine,8300,https://github.com/codota/TabNine
nasa,fprime,8200,https://github.com/nasa/fprime
rigtorp,awesome-modern-cpp,8100,https://github.com/rigtorp/awesome-modern-cpp
