username,repo_name,stars,repo_url
facebook,infer,12400,https://github.com/facebook/infer
analysis-tools-dev,static-analysis,8700,https://github.com/analysis-tools-dev/static-analysis
checkstyle,checkstyle,6100,https://github.com/checkstyle/checkstyle
SonarSource,sonarqube,5900,https://github.com/SonarSource/sonarqube
facebook,pyre-check,5400,https://github.com/facebook/pyre-check
Kristories,awesome-guidelines,4700,https://github.com/Kristories/awesome-guidelines
simplecov-ruby,simplecov,4300,https://github.com/simplecov-ruby/simplecov
phpro,grumphp,3500,https://github.com/phpro/grumphp
pmd,pmd,3400,https://github.com/pmd/pmd
reviewdog,reviewdog,3400,https://github.com/reviewdog/reviewdog
PyCQA,pylint,3400,https://github.com/PyCQA/pylint
htmlhint,HTMLHint,2600,https://github.com/htmlhint/HTMLHint
codeclimate,codeclimate,2200,https://github.com/codeclimate/codeclimate
kucherenko,jscpd,2200,https://github.com/kucherenko/jscpd
trekhleb,state-of-the-art-shitcode,1900,https://github.com/trekhleb/state-of-the-art-shitcode
uber,piranha,1800,https://github.com/uber/piranha
wemake-services,wemake-python-styleguide,1500,https://github.com/wemake-services/wemake-python-styleguide
ehmicky,cross-platform-node-guide,1200,https://github.com/ehmicky/cross-platform-node-guide
urish,typewiz,1100,https://github.com/urish/typewiz
Tencent,feflow,980,https://github.com/Tencent/feflow
jakzal,phpqa,922,https://github.com/jakzal/phpqa
joshuaclayton,unused,878,https://github.com/joshuaclayton/unused
SonarSource,SonarTS,777,https://github.com/SonarSource/SonarTS
dabutvin,Imgbot,763,https://github.com/dabutvin/Imgbot
bufferapp,android-guidelines,762,https://github.com/bufferapp/android-guidelines
pdepend,pdepend,751,https://github.com/pdepend/pdepend
SonarSource,SonarJS,718,https://github.com/SonarSource/SonarJS
maglnet,ComposerRequireChecker,583,https://github.com/maglnet/ComposerRequireChecker
grodowski,undercover,580,https://github.com/grodowski/undercover
dodie,vim-disapprove-deep-indentation,564,https://github.com/dodie/vim-disapprove-deep-indentation
