username,repo_name,stars,repo_url
vercel,next.js,69900,https://github.com/vercel/next.js
webpack,webpack,58600,https://github.com/webpack/webpack
rust-lang,rust,56100,https://github.com/rust-lang/rust
gatsbyjs,gatsby,50600,https://github.com/gatsbyjs/gatsby
sveltejs,svelte,48000,https://github.com/sveltejs/svelte
babel,babel,39300,https://github.com/babel/babel
parcel-bundler,parcel,38600,https://github.com/parcel-bundler/parcel
JetBrains,kotlin,36800,https://github.com/JetBrains/kotlin
evanw,esbuild,25400,https://github.com/evanw/esbuild
markedjs,marked,25200,https://github.com/markedjs/marked
vlang,v,24300,https://github.com/vlang/v
vercel,pkg,18300,https://github.com/vercel/pkg
v8,v8,17800,https://github.com/v8/v8
swc-project,swc,12400,https://github.com/swc-project/swc
AssemblyScript,assemblyscript,12200,https://github.com/AssemblyScript/assemblyscript
Konloch,bytecode-viewer,12200,https://github.com/Konloch/bytecode-viewer
nim-lang,Nim,11500,https://github.com/nim-lang/Nim
gopherjs,gopherjs,10300,https://github.com/gopherjs/gopherjs
ziglang,zig,9600,https://github.com/ziglang/zig
compiler-explorer,compiler-explorer,8700,https://github.com/compiler-explorer/compiler-explorer
JetBrains,kotlin-native,7100,https://github.com/JetBrains/kotlin-native
apache,tvm,6800,https://github.com/apache/tvm
numba,numba,6600,https://github.com/numba/numba
elm,compiler,6500,https://github.com/elm/compiler
aalhour,awesome-compilers,6000,https://github.com/aalhour/awesome-compilers
lebab,lebab,5400,https://github.com/lebab/lebab
DoctorWkt,acwj,5400,https://github.com/DoctorWkt/acwj
Nuitka,Nuitka,5400,https://github.com/Nuitka/Nuitka
rescript-lang,rescript-compiler,5300,https://github.com/rescript-lang/rescript-compiler
enso-org,enso,4600,https://github.com/enso-org/enso
